Monitoring sys_clone events...
Process zsh (PID: 15629, PPID: 15628) called sys_clone
Process zsh (PID: 15635, PPID: 15629) called sys_clone
Process zsh (PID: 15629, PPID: 15628) called sys_clone
Process zsh (PID: 15637, PPID: 15629) called sys_clone
Process zsh (PID: 15629, PPID: 15628) called sys_clone
Process zsh (PID: 15639, PPID: 15629) called sys_clone
Process zsh (PID: 15629, PPID: 15628) called sys_clone
Process zsh (PID: 15641, PPID: 15629) called sys_clone
Process zsh (PID: 15642, PPID: 15641) called sys_clone
Process zsh (PID: 15643, PPID: 15642) called sys_clone
Process zsh (PID: 15643, PPID: 15642) called sys_clone
Process zsh (PID: 15644, PPID: 15643) called sys_clone
Process zsh (PID: 15646, PPID: 15644) called sys_clone
Process zsh (PID: 15643, PPID: 15642) called sys_clone
Process zsh (PID: 15644, PPID: 15643) called sys_clone
Process zsh (PID: 15649, PPID: 15644) called sys_clone
Process zsh (PID: 15650, PPID: 15649) called sys_clone
Process zsh (PID: 15649, PPID: 15644) called sys_clone
Process zsh (PID: 15644, PPID: 15643) called sys_clone
Process zsh (PID: 15641, PPID: 15629) called sys_clone
Process zsh (PID: 15654, PPID: 15641) called sys_clone
Process zsh (PID: 15641, PPID: 15629) called sys_clone
Process zsh (PID: 15656, PPID: 15641) called sys_clone
Process zsh (PID: 15641, PPID: 15629) called sys_clone
Process zsh (PID: 15629, PPID: 15628) called sys_clone
Process zsh (PID: 15659, PPID: 15629) called sys_clone
Process zsh (PID: 15660, PPID: 15659) called sys_clone
Process zsh (PID: 15661, PPID: 15660) called sys_clone
Process zsh (PID: 15660, PPID: 15659) called sys_clone
Process zsh (PID: 15662, PPID: 15661) called sys_clone
Process zsh (PID: 15661, PPID: 15660) called sys_clone
Process zsh (PID: 15659, PPID: 15629) called sys_clone
Process zsh (PID: 15629, PPID: 15628) called sys_clone
Process zsh (PID: 15667, PPID: 15629) called sys_clone
Process zsh (PID: 15668, PPID: 15667) called sys_clone
Process zsh (PID: 15669, PPID: 15668) called sys_clone
Process zsh (PID: 15668, PPID: 15667) called sys_clone
Process zsh (PID: 15667, PPID: 15629) called sys_clone
Process zsh (PID: 15629, PPID: 15628) called sys_clone
Process zsh (PID: 15673, PPID: 15629) called sys_clone
Process zsh (PID: 15674, PPID: 15673) called sys_clone
Process zsh (PID: 15675, PPID: 15674) called sys_clone
Process zsh (PID: 15674, PPID: 15673) called sys_clone
Process zsh (PID: 15673, PPID: 15629) called sys_clone
Process zsh (PID: 15629, PPID: 15628) called sys_clone
Process zsh (PID: 15679, PPID: 15629) called sys_clone
Process zsh (PID: 15680, PPID: 15679) called sys_clone
Process zsh (PID: 15681, PPID: 15680) called sys_clone
Process zsh (PID: 15680, PPID: 15679) called sys_clone
Process zsh (PID: 15679, PPID: 15629) called sys_clone
Process zsh (PID: 15684, PPID: 15679) called sys_clone
